Date,Currency,Mean,Buy,Sell
14/01/2015,AUSTRALIAN $,73.9206,73.8554,73.9859
15/01/2015,US DOLLAR,91.3583,91.2917,91.425
15/01/2015,STG POUND,139.1569,139.0456,139.2683
15/01/2015,EURO,107.5272,107.4394,107.615
15/01/2015,SA RAND,7.9716,7.9626,7.9805
15/01/2015,KES / USHS,31.6885,31.6106,31.7663
15/01/2015,KES / TSHS,19.2977,19.2289,19.3665
15/01/2015,KES / RWF,7.5308,7.4815,7.5801
15/01/2015,KES / BIF,17.1053,16.9833,17.2272
15/01/2015,AE DIRHAM,24.8726,24.8541,24.8911
15/01/2015,CAN $,76.3196,76.2479,76.3912
15/01/2015,S FRANC,89.5056,89.4227,89.5884
15/01/2015,JPY (100),77.5505,77.4774,77.6235
15/01/2015,SW KRONER,11.3044,11.2951,11.3137
15/01/2015,NOR KRONER,11.9538,11.944,11.9636
15/01/2015,DAN KRONER,14.4504,14.4387,14.4621
15/01/2015,IND RUPEE,1.4787,1.4775,1.4799
15/01/2015,HONGKONG DOLLAR,11.7824,11.7738,11.791
15/01/2015,SINGAPORE DOLLAR,68.4819,68.4294,68.5345
15/01/2015,SAUDI RIYAL,24.3411,24.3185,24.3638
15/01/2015,CHINESE YUAN,14.7469,14.7354,14.7583
15/01/2015,AUSTRALIAN $,75.0143,74.9413,75.0874
16/01/2015,US DOLLAR,91.4831,91.415,91.5511
16/01/2015,STG POUND,138.8336,138.7167,138.9506
16/01/2015,EURO,106.4697,106.3739,106.5656
16/01/2015,SA RAND,7.9333,7.9243,7.9423
16/01/2015,KES / USHS,31.6453,31.5671,31.7235
16/01/2015,KES / TSHS,19.2932,19.2242,19.3622
16/01/2015,KES / RWF,7.5206,7.4712,7.5699
16/01/2015,KES / BIF,17.1619,16.8758,17.4479
16/01/2015,AE DIRHAM,24.9066,24.8877,24.9254
16/01/2015,CAN $,76.4365,76.3637,76.5094
16/01/2015,S FRANC,104.3077,104.2123,104.4031
16/01/2015,JPY (100),78.4757,78.4072,78.5442
16/01/2015,SW KRONER,11.2589,11.2464,11.2714
16/01/2015,NOR KRONER,11.9788,11.9652,11.9924
16/01/2015,DAN KRONER,14.323,14.3115,14.3344
16/01/2015,IND RUPEE,1.4782,1.4769,1.4794
16/01/2015,HONGKONG DOLLAR,11.802,11.7932,11.8108
16/01/2015,SINGAPORE DOLLAR,69.0647,69.0029,69.1265
16/01/2015,SAUDI RIYAL,24.3757,24.3559,24.3954
16/01/2015,CHINESE YUAN,14.7349,14.7225,14.7473
16/01/2015,AUSTRALIAN $,75.2814,75.198,75.3649
19/01/2015,US DOLLAR,91.4992,91.4283,91.57
19/01/2015,STG POUND,138.5967,138.4728,138.7206
19/01/2015,EURO,105.8839,105.7928,105.975
19/01/2015,SA RAND,7.9083,7.8988,7.9179
19/01/2015,KES / USHS,31.6397,31.5606,31.7188
19/01/2015,KES / TSHS,19.3773,19.3076,19.4469
19/01/2015,KES / RWF,7.5192,7.4697,7.5688
19/01/2015,KES / BIF,17.0789,16.9564,17.2015
19/01/2015,AE DIRHAM,24.911,24.8913,24.9306
19/01/2015,CAN $,76.5267,76.4515,76.602
19/01/2015,S FRANC,105.4867,105.3929,105.5805
19/01/2015,JPY (100),78.101,78.0305,78.1714
19/01/2015,SW KRONER,11.2802,11.2673,11.2931
19/01/2015,NOR KRONER,12.1011,12.0907,12.1116
19/01/2015,DAN KRONER,14.23,14.2168,14.2433
19/01/2015,IND RUPEE,1.4831,1.4818,1.4844
19/01/2015,HONGKONG DOLLAR,11.8042,11.7951,11.8133
19/01/2015,SINGAPORE DOLLAR,68.843,68.7638,68.9222
19/01/2015,SAUDI RIYAL,24.3666,24.3419,24.3913
19/01/2015,CHINESE YUAN,14.7147,14.7022,14.7273
19/01/2015,AUSTRALIAN $,75.2215,75.1449,75.298
20/01/2015,US DOLLAR,91.5944,91.525,91.6639
20/01/2015,STG POUND,138.1078,137.9811,138.2344
20/01/2015,EURO,106.0667,105.9739,106.1594
20/01/2015,SA RAND,7.8492,7.8407,7.8577
20/01/2015,KES / USHS,31.6068,31.5282,31.6853
20/01/2015,KES / TSHS,19.5427,19.4733,19.6121
20/01/2015,KES / RWF,7.5114,7.462,7.5608
